date,Open,High,Low,Close,Adj Close,Volume
2020. 5. 6,252331,259798,250874,250893,24860826926561,27634989198134
2020. 5. 7,250717,261147,248013,258908,29010446396147,28929589122890
2020. 5. 8,258797,263079,254709,259807,24934891958976,28794432944335
2020. 5. 9,259991,261939,255025,258110,23115877900530,28614499669991
2020. 5. 10,258051,258051,222871,230035,30753079420016,25507310472928
2020. 5. 11,230075,233024,221149,227448,24460597628586,25144974716044
2020. 5. 12,227404,234735,227611,232220,19451884132812,25685811805885
2020. 5. 13,232296,245752,231731,244478,20920101735067,27101346866013
2020. 5. 14,244108,250599,241771,249112,24731545182466,27631287997553
2020. 5. 15,249120,249890,238976,241240,20378710575371,26639670702280
2020. 5. 16,241228,250055,239857,247473,18965329693435,27458896940032
2020. 5. 17,247389,257935,246765,255445,19077939249706,28349281406659
2020. 5. 18,255471,266124,255318,262838,21470028975575,29358551397066
2020. 5. 19,262936,262936,257775,261550,17577098997863,29028441587210
2020. 5. 20,261544,264024,255166,257900,15598793400146,28578801984116
2020. 5. 21,257940,260053,238309,246549,16336364196845,27241481423735
2020. 5. 22,246492,258791,244481,257027,14852881742071,28374364084759
2020. 5. 23,257058,261018,254700,258919,13232230406544,28753574196909
2020. 5. 24,258946,261277,251051,251051,14681101446966,27885659441219
2020. 5. 25,250570,256101,248932,254806,12920382904157,28292992208869
2020. 5. 26,254731,255298,246844,248534,12608442136150,27836032671620
2020. 5. 27,248522,258661,248543,258661,13086378543801,28565835175121
2020. 5. 28,258688,272738,255483,272167,15124166606974,30253037772090
2020. 5. 29,272272,277648,270150,271781,15185326214428,30361802015326
2020. 5. 30,271833,300438,269403,298470,18507593314099,33174250058379
2020. 5. 31,298478,300564,283303,284440,15068386724933,31621741818299
2020. 6. 1,284297,303625,283862,302086,17181134401903,33815251475578
2020. 6. 2,301886,308083,284397,289440,16856344039516,32259468719223
2020. 6. 3,289655,296900,286704,296900,12032728843409,33130752872445
2020. 6. 4,296810,299385,288496,297315,12366308455802,33053320069907
2020. 6. 5,297222,298940,289411,290060,11304992057729,32636637244550
2020. 6. 6,290035,295915,288389,291458,9757811203418,32361975436739
2020. 6. 7,291430,295259,284705,294718,11498863912994,32860359909429
2020. 6. 8,294732,294947,289247,294550,9709182011883,32946136615761
2020. 6. 9,294388,297270,290821,293473,10100801391711,32592505737748
2020. 6. 10,293365,296173,288688,294618,10536464303506,33000565789899
2020. 6. 11,294741,297145,277346,279375,14712177954918,30707826707439
2020. 6. 12,279282,287620,277333,285887,10693742378085,31878615791087
2020. 6. 13,285949,287933,283957,287591,8596873594786,32019895108472
2020. 6. 14,287663,287823,280428,281783,8955308373628,31381213659203
2020. 6. 15,281715,283025,268978,277731,12681354897047,30819812386859
2020. 6. 16,277530,286188,275389,284101,9621706239039,31537118344459
2020. 6. 17,284193,286330,278733,283209,9333701539765,31459326364827
2020. 6. 18,283051,284749,277588,281390,8159550751307,31425648161625
2020. 6. 19,281213,281560,274018,275288,8421504460192,30682066670727
2020. 6. 20,275092,280513,274685,277877,7578336853203,30964807358394
2020. 6. 21,277807,281616,276930,277510,6787610705061,30930189086144
