date,Open,High,Low,Close,Adj Close,Volume
2020. 5. 6," ₩ 252,331 "," ₩ 259,798 "," ₩ 250,874 "," ₩ 250,893 "," ₩ 24,860,826,926,561 "," ₩ 27,634,989,198,134 "
2020. 5. 7," ₩ 250,717 "," ₩ 261,147 "," ₩ 248,013 "," ₩ 258,908 "," ₩ 29,010,446,396,147 "," ₩ 28,929,589,122,890 "
2020. 5. 8," ₩ 258,797 "," ₩ 263,079 "," ₩ 254,709 "," ₩ 259,807 "," ₩ 24,934,891,958,976 "," ₩ 28,794,432,944,335 "
2020. 5. 9," ₩ 259,991 "," ₩ 261,939 "," ₩ 255,025 "," ₩ 258,110 "," ₩ 23,115,877,900,530 "," ₩ 28,614,499,669,991 "
2020. 5. 10," ₩ 258,051 "," ₩ 258,051 "," ₩ 222,871 "," ₩ 230,035 "," ₩ 30,753,079,420,016 "," ₩ 25,507,310,472,928 "
2020. 5. 11," ₩ 230,075 "," ₩ 233,024 "," ₩ 221,149 "," ₩ 227,448 "," ₩ 24,460,597,628,586 "," ₩ 25,144,974,716,044 "
2020. 5. 12," ₩ 227,404 "," ₩ 234,735 "," ₩ 227,611 "," ₩ 232,220 "," ₩ 19,451,884,132,812 "," ₩ 25,685,811,805,885 "
2020. 5. 13," ₩ 232,296 "," ₩ 245,752 "," ₩ 231,731 "," ₩ 244,478 "," ₩ 20,920,101,735,067 "," ₩ 27,101,346,866,013 "
2020. 5. 14," ₩ 244,108 "," ₩ 250,599 "," ₩ 241,771 "," ₩ 249,112 "," ₩ 24,731,545,182,466 "," ₩ 27,631,287,997,553 "
2020. 5. 15," ₩ 249,120 "," ₩ 249,890 "," ₩ 238,976 "," ₩ 241,240 "," ₩ 20,378,710,575,371 "," ₩ 26,639,670,702,280 "
2020. 5. 16," ₩ 241,228 "," ₩ 250,055 "," ₩ 239,857 "," ₩ 247,473 "," ₩ 18,965,329,693,435 "," ₩ 27,458,896,940,032 "
2020. 5. 17," ₩ 247,389 "," ₩ 257,935 "," ₩ 246,765 "," ₩ 255,445 "," ₩ 19,077,939,249,706 "," ₩ 28,349,281,406,659 "
2020. 5. 18," ₩ 255,471 "," ₩ 266,124 "," ₩ 255,318 "," ₩ 262,838 "," ₩ 21,470,028,975,575 "," ₩ 29,358,551,397,066 "
2020. 5. 19," ₩ 262,936 "," ₩ 262,936 "," ₩ 257,775 "," ₩ 261,550 "," ₩ 17,577,098,997,863 "," ₩ 29,028,441,587,210 "
2020. 5. 20," ₩ 261,544 "," ₩ 264,024 "," ₩ 255,166 "," ₩ 257,900 "," ₩ 15,598,793,400,146 "," ₩ 28,578,801,984,116 "
2020. 5. 21," ₩ 257,940 "," ₩ 260,053 "," ₩ 238,309 "," ₩ 246,549 "," ₩ 16,336,364,196,845 "," ₩ 27,241,481,423,735 "
2020. 5. 22," ₩ 246,492 "," ₩ 258,791 "," ₩ 244,481 "," ₩ 257,027 "," ₩ 14,852,881,742,071 "," ₩ 28,374,364,084,759 "
